player,g,min,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,stl,blk,to,pts,player_id,snake_name,team,dob,feet,inches,weight,position,college,height
Seimone Augustus,33,26.2,4.7,10.1,46.7,0.6,2,31.8,0.7,1,70.6,0.2,1.7,1.8,2.6,0.4,0.2,1.2,10.8,200671,seimone-augustus,MIN,1984-04-30,6,0,172,G,Louisiana State,72
Shatori Walker-Kimbrough,19,8.8,1.3,2.9,42.9,0.4,1.2,30.4,0.6,0.6,100,0.2,0.6,0.8,0.4,0.4,0.3,0.8,3.5,1628278,shatori-walker-kimbrough,WAS,1995-05-18,5,11,142,G,Maryland,71
Shavonte Zellous,22,24.1,2.9,6.8,42.3,0.4,1.4,26.7,2.1,2.8,75.4,0.3,2.9,3.1,3,0.6,0.2,1.2,8.2,201919,shavonte-zellous,NYL,1986-08-28,5,10,188,G,Pittsburgh,70
Shekinna Stricklen,34,18.8,2.3,5.3,43,1.7,4,43,0.4,0.4,85.7,0.3,2,2.3,0.5,0.6,0.1,0.6,6.6,203015,shekinna-stricklen,CON,1990-07-30,6,2,178,F-G,Tennessee,74
Skylar Diggins-Smith,32,34.1,5.8,14.4,40.3,1.6,5.4,29.7,4.7,5.6,83.9,0.7,2.7,3.3,6.2,1.4,0.5,2.5,17.9,203400,skylar-diggins-smith,DAL,1990-08-02,5,9,145,G,Notre Dame,69
Stefanie Dolson,27,27.6,4,8.5,46.7,0.7,1.9,34.6,1.1,1.2,93.8,0.7,3.9,4.6,3,0.6,0.9,1.8,9.7,203828,stefanie-dolson,CHI,1992-01-08,6,5,214,C,Connecticut,77
Stephanie Mavunga,25,7.8,0.8,1.8,47.7,0,0,0,0.5,0.6,80,1,1.2,2.2,0.2,0.3,0.2,0.4,2.2,1628906,stephanie-mavunga,IND,1995-02-24,6,3,205,F,Ohio State,75
Stephanie Talbot,31,14.6,1.3,2.7,46.4,0.5,1.4,38.6,0.6,0.7,90.5,0.8,1.1,1.9,1.3,0.5,0.3,0.9,3.7,203855,stephanie-talbot,PHO,1994-06-15,6,2,192,F,,74
Sue Bird,31,26.6,3.7,8,46.6,1.9,4.3,44.8,0.8,0.9,82.8,0.2,1.6,1.7,7.1,1.1,0.1,1.9,10.1,100720,sue-bird,SEA,1980-10-16,5,9,150,G,Connecticut,69
Sugar Rodgers,31,19.6,2.2,6,36.2,1.4,4.3,32.3,0.6,0.7,82.6,0.6,2.6,3.2,2,0.7,0.1,1.2,6.3,203411,sugar-rodgers,NYL,1989-12-08,5,9,161,G,Georgetown,69
Sydney Colson,2,8.5,1.5,3.5,42.9,0,1,0,0.5,1,50,0.5,0.5,1,2,0,0.5,2,3.5,202641,sydney-colson,MIN,1989-08-06,5,8,140,G,Texas A&M,68
Sydney Wiese,11,3.3,0,0.4,0,0,0.4,0,0,0,0,0,0.3,0.3,0.2,0,0,0.1,0,1628282,sydney-wiese,LAS,1995-06-16,6,0,NA,G,Oregon State,72
Sylvia Fowles,34,32,7,11.3,61.9,0,0,0,3.8,5,75.7,3.6,8.3,11.9,2.2,1.4,1.2,3,17.7,201480,sylvia-fowles,MIN,1985-10-06,6,6,220,C,Louisiana State,78
Tamera Young,33,26.7,3.9,9.6,40.8,0.1,0.4,30.8,2,2.8,70.7,1.1,4,5.1,2.8,1,0.2,1.7,9.9,201477,tamera-young,LVA,1986-10-30,6,2,175,F,James Madison,74
Tanisha Wright,33,17.8,1.5,4,38.3,0.6,1.5,39.6,0.6,0.8,74.1,0.3,1.3,1.6,2,0.5,0.1,1.3,4.3,101030,tanisha-wright,MIN,1983-11-29,5,11,166,G,Penn State,71
Tayler Hill,20,11.8,1.2,4.2,28.6,0.7,2.3,28.9,0.7,0.7,92.9,0.2,0.6,0.8,1,0.1,0.1,0.8,3.7,203401,tayler-hill,DAL,1990-10-23,5,9,145,G,Ohio State,69
Temi Fagbenle,30,9.4,1.3,2.6,50.6,0,0,0,0.5,0.8,69.6,0.9,1.1,2,0.6,0.3,0.3,0.7,3.1,1627701,temi-fagbenle,MIN,1992-09-08,6,4,180,C,USC,76
Theresa Plaisance,7,11.6,2,5.1,38.9,1.3,2.7,47.4,0,0.3,0,1.4,2.3,3.7,0.7,0.3,0.3,1.1,5.3,203849,theresa-plaisance,DAL,1992-05-18,6,5,200,F-C,Louisiana State,77
Tianna Hawkins,32,16.6,2.5,5.7,44.3,0.8,2.2,35.7,0.4,0.5,82.4,1.1,2.4,3.5,0.8,0.5,0.4,1.1,6.3,203403,tianna-hawkins,WAS,1991-03-02,6,3,193,F,Maryland,75
Tierra Ruffin-Pratt,33,18.1,1.7,5,34.1,0.5,1.5,31.4,1.6,1.9,85.5,0.7,1.3,2,1.5,0.6,0.2,0.8,5.5,203437,tierra-ruffin-pratt,WAS,1991-04-11,5,11,180,G,North Carolina,71
Tiffany Hayes,31,28.9,5.7,12.9,44.1,1.4,4.2,32.1,4.5,5.5,81.7,0.9,2.7,3.6,2.7,1.2,0.2,1.6,17.2,203026,tiffany-hayes,ATL,1989-09-20,5,10,155,G,Connecticut,70
Tiffany Mitchell,34,25.6,3.2,8.6,37.1,0.5,1.8,26.7,2.2,2.7,83.5,0.7,2.4,3.1,2.3,0.9,0.2,1.4,9.1,1627676,tiffany-mitchell,IND,1994-09-23,5,9,152,G,South Carolina,69
Tina Charles,33,33,8,16.8,47.3,0.9,2.9,32.6,2.8,3.7,77,1.9,5.1,7,2.7,0.7,0.6,2.8,19.7,202250,tina-charles,NYL,1988-12-05,6,4,192,C,Connecticut,76
Victoria Vivians,34,27.1,3.1,7.6,40.4,1.9,4.8,39.9,0.8,0.9,93.1,0.5,2.6,3.1,1.2,0.9,0.1,1,8.9,1628927,victoria-vivians,IND,1994-11-17,6,1,183,G,Mississippi State,73
Yvonne Turner,32,13.3,1.5,3.9,37.6,0.7,2.2,32.4,0.5,0.7,68.2,0.2,1.6,1.8,1.3,0.7,0.1,0.6,4.1,203389,yvonne-turner,PHO,1987-10-13,5,10,131,G,Nebraska,70
